LOKALNYID,TERYT,IDTERC,IDSIMC,IDPRNG,NAZWA,RODZAJ,LICZ_MIESZ,lat,lon
1FDCC428-4F8E-24AD-E053-CA2BA8C0E5DE,2001,2001022,0753136,90968,Obuchowizna,wieś,23.0,53.7689740436871,22.96147869052893
1FDCC428-4F8F-24AD-E053-CA2BA8C0E5DE,2001,2001045,0761779,176289,Ostryńskie,część wsi,45.0,53.75154537526093,23.535456418575173
1FDCC428-4F90-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754549,110401,Pruska,wieś,210.0,53.71070513954834,22.81329005403529
1FDCC428-4F91-24AD-E053-CA2BA8C0E5DE,2001,2001062,0764890,102244,Płaska,wieś,418.0,53.90337265477106,23.272537684906034
4270a40d-d60c-11e8-a891-b8ca3a7f05dc,2001,2001062,0764832,168895,Hanus,osada,27.0,53.827053763522976,23.339414876602767
97f7f8f0-ada1-457a-8f98-e482b647ddc6,2001,2001045,0761851,90150,Nowy Lipsk,wieś,131.0,53.74690088921263,23.34167194180844
1FDCC428-4F92-24AD-E053-CA2BA8C0E5DE,2001,2001045,0761880,114545,Rakowicze,wieś,147.0,53.738513006756385,23.565602043554577
1FDCC428-4F93-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010555,176282,Borsuki,część wsi,54.0,53.79472707053336,22.908988552827637
1FDCC428-4F94-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769670,183802,Budy,część wsi,15.0,53.68043941405999,22.932415010415973
1FDCC428-4F98-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010733,183750,Rezowa Droga,część wsi,63.0,53.825667226364835,22.91351598536343
1FDCC428-4F95-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754354,183758,Chapowo,część wsi,20.0,53.75048029954888,22.889533642533213
1FDCC428-4F96-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010561,19398,Czarny Bród,część wsi,20.0,53.81165681482857,22.878299477032687
1FDCC428-4F97-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754325,114392,Rafałówki,część wsi,23.0,53.74999385287147,22.79255993072738
1FDCC428-4FA1-24AD-E053-CA2BA8C0E5DE,2001,2001052,0763117,176290,Dora,część wsi,11.0,53.94554724409734,22.981915052622853
1FDCC428-4F99-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754526,116874,Rozalin,część wsi,16.0,53.7813451903105,22.785334131821674
1FDCC428-4F9A-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754360,62158,Kroszewo,wieś,85.0,53.73442714761331,22.78896643979264
1FDCC428-4F9B-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754377,62160,Kroszówka,wieś,118.0,53.734017289647724,22.815778413041976
1FDCC428-4F9C-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754555,115355,Reszki,wieś,160.0,53.81633483877333,22.748203861173963
1FDCC428-4F9E-24AD-E053-CA2BA8C0E5DE,2001,2001062,0764938,117595,Rubcowo,wieś,90.0,53.811273799628275,23.44506476144609
1FDCC428-4F9F-24AD-E053-CA2BA8C0E5DE,2001,2001062,0764967,117864,Rudawka,wieś,98.0,53.86371083305937,23.51907644645918
1FDCC428-4FA0-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769953,19421,Czarny Grąd,część wsi,11.0,53.731377022867726,22.97907350871538
1FDCC428-4FA6-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010740,128484,Stara Wieś,część wsi,12.0,53.789156750192916,23.051643828037644
1FDCC428-4FA2-24AD-E053-CA2BA8C0E5DE,2001,2001052,1010791,176291,Długie,część wsi,55.0,53.88954656032334,23.051616971432434
1FDCC428-4FA3-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769404,176299,Dłużański Las,część wsi,42.0,53.75536024047955,23.153999852214284
1FDCC428-4FA5-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769717,176298,Stara Cegielnia,część wsi,13.0,53.71550450808933,23.100334661149365
1FDCC428-4FAC-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769829,65231,Kunicha,wieś,69.0,53.67764069886863,23.070209009619525
1FDCC428-4FA7-24AD-E053-CA2BA8C0E5DE,2001,2001052,1010839,183791,Szczebra-Parcela,część wsi,185.0,53.91963482473121,22.967009548176076
1FDCC428-4FA8-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010756,183754,Turowska Droga,część wsi,16.0,53.84885754671303,22.86181206815303
1FDCC428-4FA9-24AD-E053-CA2BA8C0E5DE,2001,2001052,0763130,143050,Upustek,część wsi,14.0,53.955915776745755,23.03577083347205
1FDCC428-4FAA-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769806,62853,Kryłatka,wieś,94.0,53.74847694156687,23.123155674510027
1FDCC428-4FAB-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754383,64950,Kukowo,wieś,44.0,53.83218755461828,22.741480025443398
1FDCC428-4FB4-24AD-E053-CA2BA8C0E5DE,2001,2001022,1010532,183731,Borowa Droga,część wsi,21.0,53.845637338088544,22.89864101222343
1FDCC428-4FAD-24AD-E053-CA2BA8C0E5DE,2001,2001032,0754578,118369,Rumiejki,wieś,73.0,53.76328695341682,22.71320102713395
1FDCC428-4FAE-24AD-E053-CA2BA8C0E5DE,2001,2001022,0753024,89125,Rutki Nowe,wieś,330.0,53.84446164264005,22.778552366780367
1FDCC428-4FAF-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769539,183806,Janówek Dolny,część wsi,13.0,53.687428730748564,23.042751331674037
1FDCC428-4FB0-24AD-E053-CA2BA8C0E5DE,2001,2001072,0769545,183807,Janówek Górny,część wsi,8.0,53.69435397849116,23.033634391411663
