X;Y;osm_id;NAZWA
18.6986571;49.9634596;3516035700;
20.8713339;51.141329;3516141603;Ksi???ca III / Ja?owcowa
16.7250215;51.3996351;3516316780;
16.9931441;52.751854;3519354725;
19.734809;51.7939537;3519877751;Ma?czewska 28 N?
19.7338232;51.7935419;3519877752;Ma?czewska 37 N?
19.7195567;51.7862886;3519877753;Ma?czewska - Leśna N?
19.7202078;51.7866244;3519877754;Ma?czewska - Leśna N?
19.690477;51.7713277;3523596980;Adamów N?
19.6494393;51.7380176;3523596982;Brzezi?ska - Mazowiecka N?
19.6394;51.7258969;3523596983;Brzezi?ska - Rokici?ska
19.6492363;51.7378466;3523596985;Brzezi?ska - S?owia?ska N?
19.6752037;51.7578063;3523596986;Jordanów I N?
19.6680097;51.7526583;3523596988;Jordanów II N?
19.667963;51.7526206;3523596989;Jordanów II N?
19.6611782;51.7473304;3523596990;Jordanów III N?
19.6612875;51.7474129;3523596991;Jordanów III N?
19.7041567;51.7783384;3523597994;Ma?czew II N?
19.7042229;51.7783723;3523597995;Ma?czew II N?
19.6384264;51.7380216;3523597997;Ogrodowa - Magdalenki N?
21.4151222;50.0524072;3524451853;Rzeszowska Plac Gryfitów
14.5486083;52.3521476;3526187693;Klingestraóe
14.5425334;52.3366751;3526187716;Dresdener Platz
14.5408803;52.36303;3526187726;Lebuser Vorstadt
14.5410171;52.363089;3526187727;Lebuser Vorstadt
14.549719;52.3498284;3526187811;Topfmarkt/Konzerthalle
14.5429178;52.3366666;3526187913;Dresdener Platz
14.546696;52.3562375;3526188102;Am Winterhafen
14.5468783;52.3562667;3526188103;Am Winterhafen
14.5433344;52.3602528;3526188104;Neue Welt
14.543486;52.3602999;3526188105;Neue Welt
16.9017449;54.3772849;3526481237;S?onowiczki I
22.0623597;51.8574567;3254472733;
16.7042962;54.3920326;3254550139;S?awsko skrzy?owanie
17.9866693;54.4663966;3526481907;Strzepcz - Jednostka Wojskowa
18.6551668;50.0046817;3527006456;Borynia So?tysówka
18.6970649;49.9906692;3527114387;Krzy?owice PGR
18.7396912;49.9962198;3527134928;
18.7300715;49.9938481;3527136317;
18.7616486;49.9908036;3527140587;Mizerów Sklep
18.677404;49.9824865;3527148259;Krzy?owice sklep
18.6918656;49.9873379;3527152940;Krzy?owice stawy
20.9460966;52.429356;3527627694;Sikorskiego 01
16.9690278;52.7596966;3528463111;
18.0196245;53.1416286;3528839108;Gda?ska / Powst. Warszawy
18.0195419;53.1416617;3528839110;Gda?ska / Powst. Warszawy
18.0159976;53.1381646;3528954753;Gda?ska / Artyleryjska
18.016569;53.1385437;3528972141;Gda?ska / Artyleryjska
19.3502521;49.8602738;3534011036;Andrychów W?ókniarzy
19.0114709;49.9097102;3536078107;Barlickiego/Rafineria
19.0121768;49.9104923;3536078108;Barlickiego/Rafineria
19.0031882;49.9043451;3536078112;Legionów/Maza?cowicka LONTEX
19.0033765;49.9035996;3536078113;Maza?cowicka/Legionów
19.0173411;49.9033309;3536096023;Prusa/?ukasiewicza ZPZ
16.3615733;50.7066907;3536421560;Jedlina-Zdrój - Noworudzka 15
16.361589;50.7066518;3536614483;Jedlina-Zdrój - Noworudzka 24
20.4907324;53.7562238;3536978540;Synów Pu?ku - Ogrody
22.1925293;51.8725443;3255415584;
22.1913778;51.8725911;3255415589;
17.7881542;51.8079842;3256594293;Bógwidze (skrzy?. Kotarby)
17.742022;51.8475965;3256594563;Taczanów Pierwszy
22.4444746;51.6448258;3257503086;Kock Biedronka
20.4631411;53.8916384;3537025816;
17.9695275;53.1272773;3537694849;
17.9634823;53.1283171;3537698183;
17.9630731;53.1284596;3537698184;
18.0071377;53.1224741;3539606854;Rondo Jagiellonów
21.5376764;52.2962286;3542063897;Pr?dzewo-Kopaczewo
18.0201901;53.1227785;3544600492;Dworzec Autobusowy
22.7403686;49.9050809;3546638853;Kaszyce
19.7521596;51.7975663;3549113694;?w.Anny 27-31
15.5193574;51.2557163;3549940763;Zabobrze Jasna
15.5134219;51.254673;3550074751;Zabobrze 170
18.6195867;54.366252;3550609868;Centrum Medycyny Inwazyjnej 01
18.6191458;54.3662318;3550609869;Centrum Medycyny Inwazyjnej 02
18.6267098;54.3666719;3550609870;Uniwersyteckie Centrum Kliniczne 02
18.1248398;54.2339069;3552218097;Wieśyca - Dworzec Kolejowy
22.5032523;51.6939091;3257503092;
22.5184104;51.7085904;3257503094;
22.5256631;51.7159305;3257503101;
22.5489759;51.7381596;3257503104;
22.5592207;51.7481364;3257503120;
22.5608754;51.749465;3257503121;
23.2199879;52.1924648;3258102380;
19.1820286;49.6761243;3258114865;Le?nianka I
15.5277894;51.269849;3553801026;Os. Przylesie
15.5518734;51.2841686;3553992373;Boles?awice ?wirownia
19.8789177;49.2767826;3554985885;Ko?cielisko Urząd Gminy
19.8689468;49.2756924;3554986037;Ko?cielisko Dolina Ko?cieliska
19.8678007;49.275892;3554986038;Ko?cielisko Dolina Ko?cieliska
19.8261315;49.3219446;3554991437;
19.8260983;49.3216033;3554991798;
19.8225336;49.3443667;3555002794;Witów
19.2787819;50.0301606;3555171146;
19.2764161;50.0303238;3555171157;O?wi?cim - Monowice Inkubator Przedsi?biorczo?ci
18.0331664;53.1210846;3556420868;Rondo Fordo?skie
19.7114551;52.5525099;3556543230;
15.505758;51.926721;3261000666;Poniatowskiego (N?)
15.5094023;51.9165518;3261000669;Ja?owcowa
15.50689;51.9281017;3261000677;Ko?uchowska PSP
15.5094681;51.9117607;3261000680;Zawiszy Czarnego
15.5094637;51.9127006;3261000681;Zawiszy Czarnego
22.9262151;54.4151964;3262536425;
23.6228725;52.7190899;3263027161;Hajnówka - Osiedle JW
20.9921439;51.1751925;3263147911;
21.0016166;51.1714267;3263147914;
21.016732;51.1654878;3263147916;
19.048507;52.443518;3556992013;
16.8771811;52.4121995;3557104384;Szpitalna
16.876958;52.4115938;3557105494;Szpitalna
16.2829518;50.7849843;3557736154;?eromskiego - Dworzec Miasto
20.5105354;53.7421686;3558273220;Krasickiego-Wilczy?skiego
20.4894337;53.7330139;3558273226;P?oskiego
20.4786303;53.77721;3558273227;Wysoka Brama
18.6520668;51.5982008;3558605296;Smardzew
18.2875943;50.237834;3559038292;
16.2811786;50.7858365;3560092058;?eromskiego - Dworzec Miasto
19.5570622;50.2210656;3562125500;
19.8152759;50.2149656;3567104403;Ojców Z?ota Góra
19.815231;50.2151716;3567104406;Ojców Z?ota Góra
18.6130103;54.3372943;3568194994;Kopeckiego 01
20.3835286;53.7711534;3568773999;Kudypy - Le?ne Arboretum
18.0353578;53.1168147;3568777496;Rondo Toru?skie
18.2627661;50.0959998;3263401469;
21.4192667;50.9986916;10036655213;Nowa D?bowa Wola/14
21.4107561;51.0096084;10036655217;Nowa D?bowa Wola/10
21.4023515;51.0132511;10036655218;Nowa D?bowa Wola/08
21.4027631;51.0047461;10036655224;Nowa D?bowa Wola/04
21.4106917;51.0020506;10036655225;Nowa D?bowa Wola/01
21.4108875;51.0020506;10036655227;Nowa D?bowa Wola/02
21.4197817;50.9946351;10036655233;Stara D?bowa Wola/02/0661
20.4805054;53.7800734;3569030425;Teatr im. S. Jaracza
17.6071561;53.4377919;3569228923;Niechorz
17.7088762;53.4293084;3569228925;Dziedno
17.5594448;54.7651125;3569295620;
18.0451508;53.1156876;3569415795;Per?owa
19.3607041;51.6639024;4230237109;Zamkowa/Zamek
19.3599922;51.6639283;4230237110;Zamkowa/Kościół ?w. Mateusza
19.3647656;51.6639029;4230241643;Warszawska/Poprzeczna
19.3529663;51.6602339;4230246190;Moniuszki/Maria?ska
19.3468559;51.6605257;4230246483;Moniuszki/Sienkiewicza
19.3410365;51.6608286;4230248878;Moniuszki/Konopnickiej
19.3281503;51.6517124;4230269623;Jana Paw?a II/DPS
20.5260952;50.1519079;4230321852;
19.3290214;51.6513002;4231603095;Wiejska/15 Pu?ku Piechoty Wilków
19.3585519;51.6689343;4231644324;Pi?sudskiego 01
16.9133744;52.4070056;4231665289;Rondo Kaponiera
19.3251054;51.6597337;4231686290;?aska/Dworzec PKP 03
19.3305751;51.6619067;4231686291;?aska/W?glowa
19.3098192;51.6704213;4231697629;Pi?tkowisko 10 N?
19.3028665;51.6745425;4231705609;Pi?tkowisko 68 N?
21.3117879;50.9492148;10036655246;Rudka/03/9
21.3301986;50.9377903;10036655251;Chmielów/Szkoła 02
21.328769;50.9381841;10036655253;Chmielów/Szkoła 01
21.3256456;50.9465322;10036655257;Chmielów/Spacerowa 04
21.3289487;50.9744302;10036655268;Janik/07/0657/Wiatraczna
21.3288548;50.9743373;10036655270;Janik/08/0657/Wiatraczna
21.3140357;50.9744504;10036655276;Janik/03/0657/Szkolna
19.2940265;51.6787623;4231710894;Kudrowice/Szkoła N?
19.317192;51.6845574;4231727923;Petrykozy/Skrzy?owanie N?
19.3187604;51.6922385;4231731010;Górka Pabianicka/OSP N?
19.3171332;51.6978156;4231735024;Górka Pabianicka 25 N?
19.321032;51.6987533;4231743692;
19.3237563;51.6844911;4231754094;Petrykozy 2 N?
19.3345982;51.6810873;4231765536;Szynkielew/Osiedle Petrykozy N?
19.3183821;51.6845438;4231845087;Petrykozy 18 N?
19.3417609;51.6648949;4231877533;Zamkowa/Konopnickiej
19.3022983;51.6746708;4231891720;Pi?tkowisko/OSP N?
19.3679634;51.6531402;4231959269;Bugaj/Gawro?ska N?
19.3690027;51.6528571;4231959270;Gawro?ska/Bugaj
19.3667046;51.6560919;4231966735;Bugaj/Grota-Roweckiego
19.3666694;51.6564121;4231966737;Bugaj/os. Kopernika
19.3704826;51.6747681;4231981251;Rypu?towicka 6 N?
19.370299;51.6726957;4231981253;Konstantynowska/ZEC N?
19.3703414;51.6729949;4231981254;Konstantynowska 85 N?
19.3713093;51.6827042;4231984121;Szkolna/Rypu?towicka N?
19.3798254;51.6850438;4231987644;Szkolna/Gie?dowa
19.3853685;51.6852238;4231991065;Szkolna/Szkoła
19.3868189;51.6850732;4231994219;Szkolna/Szkoła Rolnicza
19.3965171;51.6839806;4231995926;Jana Paw?a II/Zachodnia
19.3965717;51.6839699;4231995927;Jana Paw?a II/Kościół
19.4090531;51.6815295;4232000792;Pocztowa/rondo N?
16.9126361;52.4047446;4232203936;
19.4260111;51.6781793;4233341589;Akacjowa
19.432491;51.6787333;4233344490;??czna/Dom Rolnika
19.4338739;51.6729001;4233356228;Ogrodników 23
19.4338976;51.6730049;4233356229;Ogrodników 23
19.4333462;51.6695268;4233359872;Ogrodników 3
19.4333193;51.6693534;4233359875;Ogrodników 3
19.4356641;51.6619677;4233367174;Hubala 153 N?
19.4178262;51.6624873;4233370454;Hubala/OSP N?
21.3040739;50.9743846;10036655278;Janik/01/0657/Leśna
21.2871894;50.9664511;10036655283;Kunów/01/0657/Fabryczna
21.2794003;50.9588458;10036655289;Kunów/01/0656/Warszawska
21.2787207;50.9489563;10036655297;Kunów/01/0656/Kaznodziejska
19.4037554;51.66928;4233382203;Wschodnia 149
19.4039289;51.6696151;4233382206;Wschodnia 147
19.4062447;51.6740421;4233391018;Wschodnia 119
19.4061979;51.6739548;4233391020;Wschodnia 119
19.3609716;51.6305465;4233532494;Bychlew 112 N?
19.3609799;51.6147144;4233540692;Pawlikowice/cmentarz N?
19.3609719;51.6135797;4233543584;Pawlikowice/cmentarz N?
19.3610471;51.6230511;4233546821;Jadwinin
19.3610459;51.6313674;4233550663;Bychlew/O?rodek Kultury N?
19.3609294;51.6339838;4233553591;Bychlew/PKS
19.3609049;51.6340677;4233553592;Bychlew/Sklep
19.3603197;51.6397183;4233556248;Bychlew/Szkoła
19.360475;51.6480699;4233582337;Jutrzkowicka 60 N?
19.3604571;51.6470561;4233584226;Jutrzkowicka/Gospodarcza N?
19.356615;51.6642226;4233697270;Zamkowa/Okulickiego
19.3525881;51.6644059;4233697271;Zamkowa/Ko?ciuszki
19.3757596;51.6637604;4233709484;Warszawska/Nawrockiego
19.3756032;51.6637648;4233709593;Warszawska/Sikorskiego
19.4105895;51.662703;4233721489;Hubala/Leśna N?
19.4111948;51.6626844;4233721490;Hubala 25 N?
19.4530295;51.6614989;4233724067;Gospodarz 27 N?
19.4789768;51.6607744;4233745218;Pabianicka 58 N?
19.4803326;51.6607326;4233745219;Pabianicka 78 N?
23.0446766;50.1655202;4233766445;Oleszyce - Szkoła
19.4778492;51.6395732;4233788609;Babichy/PKS N?
19.4777075;51.6395605;4233788614;Babichy N?
19.4875877;51.6447623;4233788615;?eromskiego/CH Ptak Outlet
22.7226371;50.547493;4234346396;Bi?goraj ul. Moniuszki
22.6770717;51.1998883;4234673662;
21.1188123;49.5924766;4235025448;Bielanka
19.5355423;51.7959584;4235496295;Brzezi?ska - Marmurowa
16.9209097;52.4031343;4236385041;Niez?omnych
21.2386565;50.978328;10036655309;Nietulisko Du?e/0649/08/wodowskaz
21.239032;50.9785374;10036655311;Nietulisko Du?e/0649/07/wodowskaz
21.2281396;50.9756597;10036655313;Nietulisko Du?e/0649/09/sk?ad budowlany
21.0868125;51.0389512;4236907948;Targowisko 03
22.7538305;49.7766824;4237272097;Sanocka - Krzemieniec
22.7468319;49.7744165;4237272099;Sanocka - Kruhel Ma?y
22.7470606;49.7743528;4237272100;Sanocka - Kruhel Ma?y
22.7337086;49.7760993;4237272108;Ros?o?skiego - osiedle
22.7768916;49.7695152;4237272113;Przemys?awa - dzia?ki
22.7876854;49.7650178;4237272120;S?owackiego - dzia?ki
22.804598;49.7730717;4237272129;Jasi?skiego - Sielecka
22.8093728;49.7650032;4237321618;Sielecka II
22.8093675;49.7650586;4237321619;Sielecka II
21.2064647;50.961934;10036655324;Do?y Biskupie/0649/07/P?tla
21.2733315;50.5008836;10037621147;
21.2733529;50.5008156;10037621148;
21.9672792;50.240332;10038067696;
19.90887;50.0867382;10038480678;Azory 01
19.9547436;50.0052813;10038859197;Stoja?owskiego 01
19.9605563;50.0242633;10038859199;Zajezdnia Wola Duchacka 03
19.9263044;50.0115116;10039077997;Borek Fa??cki 04
19.9149685;49.9875884;10039078006;Opatkowice 02
22.7505833;49.806686;4237321631;Paderewskiego - Wysockiego
22.7506959;49.8064693;4237321632;Paderewskiego - Wita Stwosza
22.7959764;49.7755115;4237333790;Nestora - Bako?czyce PWSW
22.7914098;49.7786974;4237333792;Dworskiego PKS
22.7899081;49.779368;4237333793;Dworskiego - piekarnia
20.9607585;53.4838471;4237682890;Szymany
19.4841211;50.2661426;4238459497;Bukowno Leśna P?tla
23.6142055;52.0748589;4239044460;
18.1039794;51.2128405;4241721783;
18.0930167;51.2250392;4241723691;
19.7018705;52.5381984;4242022472;Zoo
18.9189046;50.3392252;4242106680;Bytom Urząd Pracy
21.3316153;50.4932756;10039546287;
18.1042266;53.0977915;10039689986;Hutnicza / ?wietlicowa (N?)
21.7399162;50.3135705;10039816033;Hadykówka 26
21.3973148;50.5138818;10039920814;
21.3141134;50.9743783;10039927922;Janik/04/0657/Szkolna
21.2811109;50.9305056;10039927928;Bukowie II/02/0667
21.2696981;50.9298176;10039927930;Bukowie II/05/0667/Szkoła
21.2682926;50.9265953;10039927932;Bukowie III/05/0667/N?
21.2486937;50.9245243;10039927936;Chocimów/01/656
22.1997815;51.3877307;4243399482;Kurów II
19.5741365;51.7395952;4245896116;Zak?adowa - Cynarskiego N?
19.5740247;51.7396141;4245896117;Zak?adowa - Cynarskiego N?
19.4587176;51.7360314;4245925760;Pabianicka - Wólcza?ska
19.1979643;52.0637375;4248527381;
16.8579254;52.3878094;4249036045;Jawornicka
16.858608;52.387262;4249036048;Jawornicka
