X;Y;osm_id;NAZWA
16.8008089;52.3683237;2117810404;Plewiska Boisko
19.5692063;51.7700668;2117828097;Pomorska - Iglasta
19.5637732;51.7706173;2117828100;Pomorska - Henrykowska N?
19.5891455;51.78876;2117828103;Pomorska - Wendy N?
16.7704631;52.3460203;2117868289;G?uchowo Stawna
16.8083447;52.3619361;2117868291;Plewiska Szkoła
16.8069905;52.3631551;2117868293;Plewiska Szkoła
16.7950857;52.3402449;2117868295;Komorniki Topolowa
16.7962121;52.3399569;2117868296;Komorniki Topolowa
14.2847253;53.8977352;2117875709;Woli?ska / Wrzosowa
19.0916865;50.0890184;2118853145;Bieru? Plac Autobusowy
19.0915743;50.0891058;2118853149;Bieru? Plac Autobusowy
18.7270303;50.2589307;2118897608;Przyszowice Szyb [n?]
18.726919;50.2589936;2118897609;Przyszowice Szyb [n?]
18.7694655;50.2396147;2118951716;Paniówki Rogatka
18.7691335;50.2397218;2118951717;Paniówki Rogatka
18.8045806;50.2280422;2118959568;Borowa Wieś ?wietlica
18.2947258;52.8313294;2564520643;""
18.2947212;52.8312556;2564521479;""
19.9070428;50.0752942;2565105067;G?owackiego 01
22.3933901;50.0188599;2566084245;Ostrów Ko?ció?
22.446477;50.0854576;2566093404;Grz?ska 4
22.4524919;50.0751381;2566093407;Grz?ska2
22.4535371;50.082621;2566097364;Grz?ska 3
16.8350411;52.5072781;2566138576;Z?otkowo/Lipowa n/ż
16.8248083;52.5937576;2566138579;""
18.8368242;50.2162371;2118966290;Nowa Wygoda
19.4516959;51.7363957;2119085170;Obywatelska - Politechniki
19.4040192;51.7285432;2119135052;Maczka - Aeroklub N?
16.8221943;52.4318596;2119350554;Le?nowolska n/ż
16.8223262;52.4317328;2119352155;Le?nowolska n/ż
16.7017471;52.4549077;2119422900;Tarnowo Podgórne/Marianowska n/ż
16.7222008;52.4489979;2119422901;Sady/Wiadukt
16.7561352;52.4401262;2119422903;Swadzim/Wiadukt n/ż
16.6713188;52.4627221;2119452883;Tarnowo Podgórne/Rolna n/ż
16.6024045;52.4407496;2119470632;Ceradz Ko?cielny Jankowicka n/ż
16.592482;52.4369201;2119470633;Ceradz Ko?cielny/Ko?ció?
16.6173572;52.4406828;2119470638;Jankowice/Pa?ac n/ż
16.7875959;52.4211141;2119525324;Prze?mierowo/Kra?cowa
16.7856557;52.4252782;2119525341;Prze?mierowo/Ko?cielna
16.7827693;52.431402;2119525348;Prze?mierowo/Leśna
16.9620727;52.9400215;2566138589;""
16.7669129;53.0399123;2566138598;""
16.7859818;53.3668831;2566138620;""
16.708591;52.4057207;2119605346;Zakrzewo/Zakrzewska n/ż
16.7183926;52.4150949;2119605371;Lusowo/Przylesie
19.4430459;51.7364183;2119616540;Obywatelska - Jana Paw?a II
19.4356898;51.7364753;2119616541;Obywatelska - Nowe Sady
19.4786662;51.753016;2119644075;Tymienieckiego - ?SSE
19.4863505;51.7513906;2119653523;Milionowa - Prz?dzalniana
19.4846098;51.7533641;2119653524;Prz?dzalniana - Tymienieckiego N?
16.8157033;52.3392296;2119841175;Komorniki Nowa n/ż
17.8233373;51.7794991;2120205741;Borowiec I
19.1902537;50.0770787;2120573273;Bieru? Wawelska Paciorkowce
16.7919677;52.4268322;2120773216;Prze?mierowo/Folwarczna n/ż
16.7222315;52.4476005;2120840565;Sady/Szkolna (Jagodowa)
16.8092027;52.4316709;2120973151;Wichrowa
17.091737;52.3452447;2121076579;Tulce/Zad?by n/ż
17.0805751;52.3419984;2121076610;Tulce/Ko?ció?
17.0731979;52.344131;2121076613;Tulce/Leśna
15.7278819;50.8949739;2121088919;Wolno?ci - Poczta
16.8316293;53.5665577;2566138643;""
16.59044;53.9413997;2566138672;""
22.2533596;50.1403145;2566202350;Rakszawa Skrzy?owanie
19.8761612;53.3873057;2566497053;""
21.1284554;51.3895457;2566718423;Limanowskiego / Marato?ska
19.7258161;51.1682592;2567759099;Bartodzieje
19.487654;52.1255211;2569447841;""
19.4870994;52.1237506;2569449144;""
17.124522;52.3577709;2121634038;Gowarzewo/Al. Kasztanowa n/ż
17.1306459;52.3594488;2121634040;Gowarzewo/Czere?niowa n/ż
17.1236963;52.3575425;2121634041;Gowarzewo/Al. Kasztanowa n/ż
17.0958208;52.3591908;2121634043;Szewce Orzechowa
17.163821;52.3337582;2121656174;Kleszczewo/Baza ZK n/ż
17.1638024;52.3334046;2121656176;Kleszczewo/Baza ZK n/ż
17.1317357;52.3068301;2121656179;Krzy?owniki Boisko n/ż
17.1843805;52.2900006;2121673736;Krerowo Cmentarz n/ż
17.1523147;52.2955783;2121673745;Zimin Szkoła
17.1230523;52.2999196;2121673747;?ródka Skrzy?owanie n/ż
17.1526325;52.2956127;2121673752;Zimin Szkoła
